movie_id,language
1822,English
1823,English
1823,Pусский
1824,English
1824,Cymraeg
1825,English
1825,Deutsch
1826,English
1827,English
1828,English
1829,English
1830,English
1831,English
1832,English
1832,Deutsch
1833,English
1834,English
1835,English
1836,English
1837,English
1838,English
1838,Français
1838,Latin
1838,Español
1839,English
1840,English
1841,English
1841,Italiano
1842,English
1842,Français
1843,English
1844,English
1845,English
1846,English
1846,Français
1847,English
1848,English
1848,Kiswahili
1849,Český
1849,English
1849,日本語
1849,普通话
1849,Pусский
1850,Italiano
1850,English
1851,English
1851,Magyar
1851,Polski
1852,
1852,English
1853,English
1854,English
1855,English
1856,English
1857,English
1858,English
1859,English
1860,English
1861,English
1862,English
1863,English
1864,English
1865,English
1866,English
1866,Español
1867,English
1868,English
1869,English
1870,English
1871,English
1872,English
1873,English
1874,English
1875,English
1876,English
1877,English
1878,English
1879,English
1880,English
1881,English
1881,Türkçe
1882,Český
1882,English
1883,English
1884,English
1885,English
1886,Deutsch
1886,Français
1886,Latin
1886,العربية
1886,ελληνικά
1886,English
1887,English
1887,Français
1887,Español
1888,English
1888,Italiano
1889,English
1890,English
1890,Afrikaans
1891,English
1892,English
1892,Español
1893,English
1894,English
1894,Italiano
1894,Español
1894,广州话 / 廣州話
1895,English
1896,English
1897,English
1898,English
1899,No Language
1900,English
1901,English
1902,English
1903,English
1904,English
1905,English
1906,English
1907,English
1908,日本語
1909,English
1910,English
1910,Italiano
1911,English
1912,English
1912,Italiano
1912,Deutsch
1912,Latin
1913,English
1914,English
1915,English
1916,Italiano
1916,English
1917,Český
1917,Deutsch
1917,English
1917,Français
1918,English
1919,普通话
1920,English
1921,English
1922,English
1923,English
1924,English
1925,English
1926,English
1927,English
1928,English
1929,English
1930,English
1931,English
1931,Íslenska
1932,English
1932,
1934,English
1935,English
1936,Italiano
1936,English
1937,English
1938,English
1939,Español
1939,English
1940,Français
1940,English
1941,English
1942,English
1943,English
1944,English
1945,English
1946,English
1947,English
1948,English
1948,Português
1949,English
1950,English
